"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
23.84,13,4,17,6,17,15,10,12,10,7,13,18,5,7,4,6
23.92,1,7,3,5,15,12,10,8,13,8,8,14,6,8,2,6
24.00,8,6,5,9,13,13,4,11,11,12,7,9,3,4,2,5
24.07,3,4,11,4,12,14,14,12,12,13,8,13,4,2,2,6
24.15,4,6,6,5,13,7,4,12,8,12,10,18,1,9,7,2
24.23,7,9,5,7,12,13,13,10,13,13,14,18,3,7,5,2
24.31,13,4,9,6,19,13,8,13,11,6,5,19,10,5,3,3
24.38,6,6,3,6,12,21,6,8,9,13,11,11,3,11,7,2
24.46,8,2,6,6,7,12,9,13,10,11,13,20,3,7,5,4
24.54,5,7,6,3,14,17,9,11,11,11,11,12,6,5,5,3
24.62,8,2,6,1,13,9,7,9,9,9,7,10,3,3,2,4
24.69,3,7,5,3,5,14,9,7,16,10,15,14,6,2,4,7
24.77,3,7,1,5,12,5,8,12,8,3,4,18,6,7,5,1
24.85,2,6,6,5,9,10,7,6,10,4,8,13,5,4,7,1
24.93,7,4,4,9,11,9,8,4,9,7,6,17,5,3,2,1
25.00,2,4,7,4,8,9,8,8,8,6,5,8,8,3,3,6
25.08,4,4,3,2,6,17,4,7,7,4,8,9,5,2,4,3
25.16,5,6,4,7,5,12,10,4,6,1,7,16,4,3,2,8
25.24,3,2,7,5,6,13,8,8,3,8,8,5,4,5,5,5
25.31,4,2,5,4,8,11,7,11,7,5,3,7,3,3,5,4
