"","A1_Caco-2_CO_P_Gree_03 (1).#m4_","A1_Caco-2_CO_P_Gree_03.#m4_","A2_Caco-2_0._P_Gree_07.#m4_","A3_Caco-2_1_P_Gree_11.#m4_","A4_Caco-2_5_P_Gree_03.#m4_","B1_Caco-2_CO_P_Gree_04.#m4_","B2_Caco-2_0._P_Gree_08.#m4_","B3_Caco-2_1_P_Gree_12.#m4_","B4_Caco-2_5_P_Gree_04.#m4_","C1_Caco-2_CO_P_Gree_05.#m4_","C2_Caco-2_0._P_Gree_09.#m4_","C3_Caco-2_1_P_Gree_13.#m4_","C4_Caco-2_5_P_Gree_05.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
30.20,0,0,4,2,0,0,0,2,2,3,1,1,2
30.27,1,1,1,1,1,0,4,1,1,1,5,1,0
30.35,2,2,5,1,3,0,3,2,2,0,2,1,3
30.43,0,0,2,0,2,3,0,4,0,0,0,1,1
30.51,1,1,2,2,0,1,2,2,1,0,4,1,0
30.58,1,1,3,3,1,2,2,2,0,0,5,2,0
30.66,2,2,1,2,2,2,2,2,0,0,1,2,0
30.74,1,1,3,1,2,1,1,4,0,0,2,0,1
30.82,3,3,2,1,2,0,1,0,1,1,3,0,0
30.89,3,3,2,1,0,1,1,3,2,0,3,1,0
30.97,0,0,0,0,0,2,2,3,0,1,1,0,1
31.05,2,2,1,2,1,1,0,0,0,1,6,1,0
31.13,2,2,1,3,0,1,2,1,2,1,2,0,1
31.20,1,1,0,0,1,0,1,2,2,1,3,4,0
31.28,1,1,1,2,0,0,1,1,1,1,0,1,4
31.36,1,1,3,0,2,1,1,3,0,0,0,0,2
31.44,2,2,1,0,0,0,0,1,1,0,3,1,0
31.51,1,1,0,2,1,1,2,1,0,0,0,3,0
31.59,1,1,1,0,2,0,2,2,1,0,0,0,1
31.67,0,0,0,0,2,2,1,4,1,0,2,1,1
31.75,1,1,4,1,1,0,0,2,0,1,6,2,1
31.82,1,1,0,2,1,1,1,2,0,0,1,2,2
31.90,1,1,1,2,0,2,2,5,0,1,0,1,1
31.98,1,1,1,0,2,2,0,2,0,1,1,2,0
32.06,2,2,2,1,0,1,1,0,0,0,3,0,0
32.13,0,0,0,2,0,0,5,2,0,1,1,0,0
32.21,0,0,1,1,0,0,2,1,1,0,5,0,2
32.29,0,0,1,2,0,0,3,4,0,0,3,0,0
32.37,1,1,1,1,0,1,0,2,0,1,0,0,1
32.44,1,1,3,0,2,0,0,2,0,0,3,2,0
32.52,0,0,1,0,0,3,0,0,1,0,1,2,1
32.60,0,0,1,1,1,1,1,0,0,1,4,0,0
32.68,1,1,2,0,0,0,0,2,0,1,1,0,0
32.75,3,3,1,0,0,3,0,1,0,0,1,0,0
32.83,0,0,5,3,1,0,0,3,0,0,2,2,0
32.91,2,2,0,0,3,0,0,2,1,0,1,1,0
32.99,1,1,1,0,2,0,0,1,1,2,1,1,0
